SessionID,Timestamp,UserID,Phase,TrialID,StudyStepIndex,SceneName,Staircase,Answer
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,0,1,indoor_syns_scene01,"StartLow",32
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,1,3,indoor_syns_scene02,"StartLow",15
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,2,5,indoor_syns_scene03,"StartLow",20
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,3,7,indoor_syns_scene04,"StartLow",17
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,4,9,indoor_syns_scene05,"StartLow",18
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,5,11,indoor_syns_scene06,"StartLow",23
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,6,13,indoor_syns_scene07,"StartLow",11
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,7,15,indoor_syns_scene08,"StartLow",9
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,8,17,indoor_syns_scene09,"StartLow",15
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,9,19,outdoor_syns_scene01,"StartLow",19
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,10,18,outdoor_syns_scene02,"StartLow",16
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,11,16,outdoor_syns_scene03,"StartLow",15
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,12,14,outdoor_syns_scene04,"StartLow",16
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,13,12,outdoor_syns_scene05,"StartLow",20
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,14,10,outdoor_syns_scene06,"StartLow",19
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,15,8,outdoor_syns_scene07,"StartLow",21
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,16,6,outdoor_syns_scene08,"StartLow",17
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,17,4,outdoor_syns_scene09,"StartLow",26
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,18,2,outdoor_syns_scene10,"StartLow",20
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,0,4,indoor_syns_scene01,"StartHigh",32
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,1,2,indoor_syns_scene02,"StartHigh",25
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,2,1,indoor_syns_scene03,"StartHigh",23
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,3,3,indoor_syns_scene04,"StartHigh",24
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,4,5,indoor_syns_scene05,"StartHigh",23
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,5,7,indoor_syns_scene06,"StartHigh",29
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,6,9,indoor_syns_scene07,"StartHigh",29
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,7,11,indoor_syns_scene08,"StartHigh",18
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,8,13,indoor_syns_scene09,"StartHigh",24
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,9,15,outdoor_syns_scene01,"StartHigh",31
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,10,17,outdoor_syns_scene02,"StartHigh",30
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,11,19,outdoor_syns_scene03,"StartHigh",31
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,12,18,outdoor_syns_scene04,"StartHigh",32
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,13,16,outdoor_syns_scene05,"StartHigh",31
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,14,14,outdoor_syns_scene06,"StartHigh",29
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,15,12,outdoor_syns_scene07,"StartHigh",27
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,16,10,outdoor_syns_scene08,"StartHigh",29
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,17,8,outdoor_syns_scene09,"StartHigh",25
9-session-2022-05-04-11-04-18.csv,2022-05-04-11-41-39,9,Testing,18,6,outdoor_syns_scene10,"StartHigh",29
